Threads amount,Time (s)
32,0.001038167
64,2.67042E-4
128,4.2783400000000004E-4
256,8.813330000000001E-4
512,0.0016127910000000001
1024,0.002385958
2048,0.0028805420000000003
4096,0.0040611250000000005
8192,0.008565625
16384,0.023375083
32768,0.024448084000000002
65536,0.054788916
131072,0.03667075
