Threads amount,Time (s)
32,0.0010575410000000002
64,0.00232125
128,0.004008208
256,0.008695084
512,0.016439958
1024,0.033120042
2048,0.066695459
4096,0.13271970800000002
8192,0.264903459
16384,0.526107
32768,1.0613915
65536,2.118324458
131072,4.193563791
