Threads amount,Time (s)
32,7.9916E-5
64,6.1417E-5
128,5.2000000000000004E-5
256,7.5917E-5
512,9.495800000000001E-5
1024,1.88166E-4
2048,2.8612500000000003E-4
4096,5.96667E-4
8192,0.001160709
16384,0.002179041
32768,0.004843584000000001
65536,0.008396333
131072,0.018602292
