Threads amount,Time (s)
32,5.364580000000001E-4
64,4.7045800000000004E-4
128,7.66375E-4
256,9.9825E-4
512,0.0017566250000000002
1024,0.003055
2048,0.007418500000000001
4096,0.011288625
8192,0.020967083
16384,0.041525
32768,0.080448875
65536,0.15957933300000002
131072,0.323224208
